call_id,case_id,caller,callee,call_time,duration,call_channel,call_type,location,content,embedding_id,raw_data
7e570ddf-8270-40a8-a369-b584ff5e9ff0,C001,17386379402,13559407816,2025-01-18 09:35:34,68,移动,接通,城东基站-01,,,
02f06b90-f143-462f-9c5c-0eed8da0365b,C001,17600133890,17386379402,2025-03-22 07:43:27,32,电信,接通,城东基站-01,,,
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,C001,16648350305,13559407816,2025-03-24 10:18:27,3,移动,接通,火车站基站-01,,,
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,C001,13559407816,16648350305,2025-03-19 08:23:48,33,电信,接通,城东基站-03,,,
79ac1b1e-a8e5-4e0c-a0de-435d2031d750,C001,16413953767,17600133890,2025-01-11 15:52:04,0,VoIP,未接,城东基站-03,,,
e64d1bcb-7027-43a1-9f98-7c71a65e688e,C001,13559407816,16648350305,2025-03-19 11:13:59,12,联通,接通,城东基站-01,,,
5496f63c-dc11-40c1-880a-adfbe7c99b26,C001,18654235116,16413953767,2025-01-09 10:37:35,5,移动,接通,城东基站-03,,,
6e595ed3-a8b3-47fa-98d0-752b1825bc54,C001,13559407816,15534192832,2025-01-28 13:46:59,11,联通,接通,北站基站-02,,,
6c006f61-23e2-4cb4-b2d8-567d894a05e4,C001,15534192832,18104332181,2025-03-28 14:41:06,41,移动,接通,北站基站-02,,,
2a935d62-3c83-4dc0-9944-1fa5c0e9ab30,C001,18654235116,17600133890,2025-02-26 17:54:35,26,联通,接通,北站基站-02,,,
a97065e1-8e46-4534-888a-618efed4057d,C001,18654235116,19413164752,2025-01-08 07:00:24,21,电信,接通,城东基站-03,,,
0e8fa8e0-284d-42e5-87f7-e1fbda4bd9ca,C001,18654235116,13559407816,2025-01-28 21:37:47,5,微信语音,接通,城东基站-01,,,
90b2b633-956b-4c0c-a849-9b926b5252e3,C001,17386379402,17600133890,2025-03-18 05:55:15,31,联通,接通,城西基站-07,嗯，好的，那先这样。,,
eeea163e-21e8-4c68-83e4-2caf8181a8cc,C001,18654235116,13849593103,2025-01-31 09:08:42,27,联通,接通,城东基站-01,,,
e3c43657-1d8c-4bac-83b4-09ef2260e70f,C001,18654235116,13849593103,2025-02-06 07:53:34,9,移动,接通,大学城基站-05,,,
a2607723-17a0-4f49-8d01-280fd89a40c0,C001,17386379402,13559407816,2025-02-06 14:45:21,12,联通,接通,城西基站-07,,,
e767dcea-b0e6-4969-a213-42b0f1eedba3,C001,18104332181,16413953767,2025-02-12 16:40:16,50,移动,接通,城东基站-01,,,
e256a6dc-8f54-46b7-87b5-b2bc5a8aaeca,C001,13849593103,16648350305,2025-01-19 11:02:19,12,电信,接通,大学城基站-05,,,
dd334cc7-ab7f-489a-8d5f-4822696608aa,C001,17386379402,18654235116,2025-01-21 22:51:11,3,电信,接通,城东基站-03,,,
39118497-3a43-42ba-9f0f-06cbcb9bc326,C001,13559407816,17386379402,2025-03-31 07:55:02,60,移动,接通,城东基站-03,,,
f86c2ca2-e085-46db-9d87-09660710d430,C001,19413164752,13849593103,2025-02-05 18:49:17,144,移动,接通,大学城基站-05,,,
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,C001,13559407816,18104332181,2025-01-14 13:22:46,52,联通,接通,火车站基站-01,东西都准备好了吗？,,
5380b904-688c-4015-aab9-7e494f2d4796,C001,18654235116,13849593103,2025-02-25 05:42:58,166,联通,接通,城西基站-07,,,
6e0d2648-35ce-4841-8973-2d6c4dcabfb7,C001,16648350305,17386379402,2025-01-25 11:24:43,29,电信,接通,大学城基站-05,,,
9e87e04c-a208-4977-a9f2-533683f4a9a9,C001,13849593103,15534192832,2025-02-26 11:13:32,42,联通,接通,城东基站-03,,,
6a18ce4c-7496-4764-92a4-def0c4bbb7a9,C001,13559407816,18654235116,2025-01-26 07:02:15,0,电信,拒接,大学城基站-05,,,
0cdb1ca4-76ec-4dd6-8498-e113b227462c,C001,18654235116,19413164752,2025-03-05 11:09:41,42,联通,接通,城东基站-01,,,
8c41561b-e827-41b9-94a0-2e536d3ee1dc,C001,15534192832,17386379402,2025-03-01 14:35:38,15,联通,接通,城东基站-03,,,
458f1f19-3c07-4574-8925-7af1b6aae05b,C001,15534192832,16413953767,2025-02-03 16:53:40,23,联通,接通,大学城基站-05,,,
34f3193c-0ff0-455c-aa70-2e2f7746d0ba,C001,17600133890,17386379402,2025-01-20 08:44:09,4,电信,接通,北站基站-02,,,
382c043f-7cfc-4b79-b875-394ce5d6f6e6,C001,16413953767,18104332181,2025-03-15 10:00:22,30,移动,接通,北站基站-02,,,
a48b3dbe-157d-44a1-86f0-28ffa9ba5a27,C001,18104332181,19413164752,2025-02-13 14:51:25,43,联通,接通,北站基站-02,,,
bfc00dc8-04f6-4d86-b866-076514f7ce8d,C001,13559407816,19413164752,2025-02-11 08:20:21,248,联通,接通,城西基站-07,,,
90604f62-1d48-4071-ab61-a7b1793b4c32,C001,18654235116,17600133890,2025-03-25 04:01:15,2,VoIP,接通,北站基站-02,,,
f1043785-658b-4523-a014-1de9f54ad0a2,C001,13559407816,13849593103,2025-01-22 14:47:45,8,电信,接通,城东基站-01,,,
8186a576-11a7-4609-9edd-bbbfa9597663,C001,16413953767,18654235116,2025-01-14 15:19:54,70,电信,接通,城东基站-01,东西都准备好了吗？,,
cee624d0-9dac-4e83-8524-1ea6a6846099,C001,19413164752,15534192832,2025-01-14 11:23:40,12,VoIP,接通,北站基站-02,,,
ab0e664e-9c3e-42d5-91e1-aa9676f72255,C001,15534192832,19413164752,2025-03-17 09:54:15,4,联通,接通,城东基站-01,,,
15eabb27-30e9-42f2-b2b4-3abf8441aefd,C001,15534192832,13849593103,2025-01-24 12:22:51,84,移动,接通,北站基站-02,,,
5e781fd7-94e0-43ba-a9f9-48b24e6384bb,C001,15534192832,16648350305,2025-01-31 15:41:45,10,联通,接通,大学城基站-05,,,
b0ae8f08-c31e-4bbc-b36c-b62b892e6161,C001,13849593103,19413164752,2025-03-12 10:44:29,11,移动,接通,城东基站-03,,,
