message_id,case_id,sender_id,receiver_id,chat_time,chat_channel,message_type,message_content,media_url,embedding_id,raw_data
697c3923-87fa-441a-be83-b91f25440fe0,C001,18104332181,13559407816,2025-03-14 15:11:10,微信,文本,改天一起吃饭。,,,
24a35cf2-9549-4931-a9af-299d7f671eec,C001,16413953767,19413164752,2025-01-30 12:16:29,微信,文本,好的，没问题。,,,
12e89d10-2871-4733-8bed-db12ad77e82f,C001,18104332181,15534192832,2025-02-26 20:37:19,微信,图片,,/data/media/C001/img_0001.png,,
da743152-627b-41a1-bfd6-f23232ffe294,C001,19413164752,13559407816,2025-03-03 06:24:36,微信,文本,老地方见哈。,,,
dd750e98-90e0-495f-8212-b554464458b4,C001,13559407816,16413953767,2025-03-29 16:03:58,微信,文本,改天一起吃饭。,,,
3810ae66-5a31-44cc-8d4b-69a99b689c88,C001,15534192832,13559407816,2025-03-23 08:16:43,QQ,文本,好的，没问题。,,,
c9e26074-4f16-49a0-8a17-991ea5769411,C001,17386379402,17600133890,2025-02-26 03:23:46,微信,图片,,/data/media/C001/img_0002.png,,
8a16a06c-c958-475e-a1d5-3971336749b5,C001,13559407816,13849593103,2025-02-16 13:58:17,QQ,文本,收到。,,,
56b60afc-ded2-45d0-bf1e-83664b8e63d4,C001,13559407816,15534192832,2025-01-15 12:04:09,QQ,语音,,/data/media/C001/audio_0003.wav,,
171e16cc-5da3-4f1b-8eac-0a33cdf974a7,C001,18654235116,19413164752,2025-02-20 01:34:07,微信,语音,,/data/media/C001/audio_0004.wav,,
78b2b549-3bdb-409e-acc2-16a01bbc91f7,C001,13559407816,19413164752,2025-01-04 14:35:20,短信,文本,今天忙不忙？,,,
a6348e78-4d5c-45c7-b379-cb1ee8cda0cc,C001,18654235116,17600133890,2025-02-22 07:02:02,微信,文本,路上注意安全。,,,
5efa9c5b-7421-4f46-a37e-4b0122bae10e,C001,15534192832,17600133890,2025-03-27 20:44:34,微信,文本,行，到时候联系。,,,
f396ea37-f065-4817-a87a-48509d9b6231,C001,17386379402,19413164752,2025-02-05 03:23:13,微信,文本,路上注意安全。,,,
a5135ea0-fa53-434d-a6d5-901d8b621d41,C001,18654235116,13849593103,2025-02-15 05:17:12,短信,文本,今天忙不忙？,,,
c96b5edb-0cf2-469b-8577-aea9f8999246,C001,15534192832,17600133890,2025-02-12 09:08:50,微信,文本,照片我发你了。,,,
541c7a86-3ba5-4d2f-9ea4-5c19d0243d72,C001,17600133890,16648350305,2025-01-19 16:38:00,微信,文本,好的，没问题。,,,
06998731-ddcf-4766-a93b-12cd1c24220e,C001,17386379402,16413953767,2025-01-17 02:50:50,微信,文本,收到。,,,
